MSE_Loss,Layer1_Size,Layer2_Size,Layer3_Size,Learning_Rate,Batch_Size
0.23249995708465576,13,0,0,0.1,32
0.26872849464416504,13,0,0,0.075,32
0.22144077718257904,13,0,0,0.05,32
0.22817254066467285,13,0,0,0.025,32
0.22163842618465424,13,0,0,0.01,32
0.2411293387413025,13,0,0,0.1,64
0.2140783816576004,13,0,0,0.075,64
0.228158101439476,13,0,0,0.05,64
0.222135990858078,13,0,0,0.025,64
0.21989212930202484,13,0,0,0.01,64
0.21992836892604828,13,0,0,0.1,128
0.22271646559238434,13,0,0,0.075,128
0.2254205048084259,13,0,0,0.05,128
0.2292574644088745,13,0,0,0.025,128
0.2344890981912613,13,0,0,0.01,128
0.22580654919147491,10,0,0,0.075,64
0.2350693792104721,20,0,0,0.075,64
0.2679675817489624,30,0,0,0.075,64
0.23105615377426147,40,0,0,0.075,64
0.3243637681007385,50,0,0,0.075,64
0.21093608438968658,60,0,0,0.075,64
0.2281426191329956,70,0,0,0.075,64
0.2350737601518631,80,0,0,0.075,64
0.22530001401901245,90,0,0,0.075,64
0.2359359860420227,100,0,0,0.075,64
0.23714059591293335,60,10,0,0.075,64
0.22652481496334076,60,20,0,0.075,64
0.2166665941476822,60,30,0,0.075,64
0.20561860501766205,60,40,0,0.075,64
0.20801830291748047,60,50,0,0.075,64
0.2149083912372589,60,60,0,0.075,64
0.26424136757850647,60,70,0,0.075,64
0.20929621160030365,60,80,0,0.075,64
0.21181513369083405,60,90,0,0.075,64
0.24336788058280945,60,100,0,0.075,64
0.21097920835018158,60,40,10,0.075,64
0.20205937325954437,60,40,20,0.075,64
0.2046985775232315,60,40,30,0.075,64
0.20145240426063538,60,40,40,0.075,64
0.1986331045627594,60,40,50,0.075,64
0.2132803350687027,60,40,60,0.075,64
0.2298596352338791,60,40,70,0.075,64
0.21638350188732147,60,40,80,0.075,64
0.20268428325653076,60,40,90,0.075,64
0.22801227867603302,60,40,100,0.075,64
0.22316956520080566,60,40,50,0.1,32
0.20569340884685516,60,40,50,0.075,32
0.21434372663497925,60,40,50,0.05,32
0.19584476947784424,60,40,50,0.025,32
0.19848568737506866,60,40,50,0.01,32
0.26983749866485596,60,40,50,0.1,64
0.20941251516342163,60,40,50,0.05,64
0.2019364833831787,60,40,50,0.025,64
0.21092407405376434,60,40,50,0.01,64
0.21198594570159912,60,40,50,0.1,128
0.2051200419664383,60,40,50,0.075,128
0.23948116600513458,60,40,50,0.05,128
0.20574381947517395,60,40,50,0.025,128
0.20865154266357422,60,40,50,0.01,128

